Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:19:20
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:20:19
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:21:20
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:21:25
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:22:56
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:22:58
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:23:01
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:23:06
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:23:10
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:24:10
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:24:45
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:26:42
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:26:48
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:09
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:10
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:14
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:18
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:20
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:34
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:40
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:28:53
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 13:30:14
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:49:44
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:49:54
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:50:24
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:50:29
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:51:03
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:51:36
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:52:05
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:55:48
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:56:07
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:56:34
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:58:28
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:59:03
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 15:59:19
